planet,discovery_year,method,mission,constellation,radius_earths,mass_earths,period_days,distance_ly,equilibrium_k,habitability_score,status
51 Pegasi b,1995,Radial Velocity,Ground,Andromeda,13.9,150.0,4.23,50.9,1250,0.08,Hot giant
HD 209458 b,1999,Transit,Ground,Pegasus,15.4,220.0,3.52,159.0,1450,0.05,Hot giant
Kepler-10 b,2011,Transit,Kepler,Draco,1.47,3.72,0.84,608.0,2169,0.10,Rocky
Kepler-16 b,2011,Transit,Kepler,Cygnus,8.45,105.8,228.78,245.0,188,0.32,Circumbinary
Kepler-22 b,2011,Transit,Kepler,Cygnus,2.38,9.10,289.86,638.0,262,0.72,Habitable zone
Kepler-62 e,2013,Transit,Kepler,Lyra,1.61,4.50,122.39,1200.0,270,0.81,Habitable zone
Kepler-62 f,2013,Transit,Kepler,Lyra,1.41,2.80,267.29,1200.0,208,0.86,Habitable zone
Kepler-186 f,2014,Transit,Kepler,Cygnus,1.17,1.40,129.94,582.0,188,0.88,Habitable zone
Kepler-452 b,2015,Transit,Kepler,Cygnus,1.63,5.00,384.84,1800.0,265,0.74,Habitable zone
Proxima Centauri b,2016,Radial Velocity,Ground,Centaurus,1.07,1.27,11.19,4.24,234,0.92,Habitable zone
TRAPPIST-1 b,2016,Transit,Spitzer,Aquarius,1.12,1.37,1.51,40.7,400,0.30,Rocky
TRAPPIST-1 c,2016,Transit,Spitzer,Aquarius,1.10,1.31,2.42,40.7,342,0.42,Rocky
TRAPPIST-1 d,2016,Transit,Spitzer,Aquarius,0.79,0.39,4.05,40.7,288,0.79,Habitable zone
TRAPPIST-1 e,2017,Transit,Spitzer,Aquarius,0.92,0.69,6.10,40.7,251,0.94,Habitable zone
TRAPPIST-1 f,2017,Transit,Spitzer,Aquarius,1.05,1.04,9.21,40.7,219,0.90,Habitable zone
TRAPPIST-1 g,2017,Transit,Spitzer,Aquarius,1.13,1.32,12.35,40.7,199,0.84,Habitable zone
TRAPPIST-1 h,2017,Transit,Spitzer,Aquarius,0.76,0.33,18.77,40.7,169,0.52,Cold rocky
LHS 1140 b,2017,Transit,Ground,Cetus,1.73,6.98,24.74,48.8,235,0.91,Habitable zone
K2-18 b,2015,Transit,K2,Leo,2.61,8.63,32.94,124.0,265,0.76,Sub-Neptune
TOI-700 d,2020,Transit,TESS,Dorado,1.19,1.72,37.42,101.4,268,0.89,Habitable zone
TOI-700 e,2023,Transit,TESS,Dorado,0.95,0.82,27.81,101.4,273,0.93,Habitable zone
GJ 357 d,2019,Radial Velocity,TESS,Hydra,1.22,6.10,55.66,31.0,220,0.79,Habitable zone
GJ 1061 d,2020,Radial Velocity,Ground,Horologium,1.16,1.64,13.03,12.0,218,0.85,Habitable zone
Ross 128 b,2017,Radial Velocity,Ground,Virgo,1.11,1.35,9.87,11.0,294,0.87,Temperate rocky
Teegarden b,2019,Radial Velocity,Ground,Aries,1.02,1.05,4.91,12.5,301,0.88,Temperate rocky
Teegarden c,2019,Radial Velocity,Ground,Aries,1.04,1.11,11.41,12.5,225,0.90,Habitable zone
WASP-96 b,2014,Transit,Ground,Phoenix,13.4,152.0,3.43,1150.0,1285,0.06,Hot giant
WASP-39 b,2011,Transit,Ground,Virgo,14.3,89.0,4.06,700.0,1166,0.07,Hot giant
HIP 65426 b,2017,Direct Imaging,Ground,Centaurus,16.8,2860.0,630000.0,355.0,1300,0.02,Young giant
Beta Pictoris b,2008,Direct Imaging,Ground,Pictor,18.1,3814.0,8399.0,63.4,1724,0.01,Young giant
HR 8799 e,2010,Direct Imaging,Ground,Pegasus,13.0,3178.0,18000.0,133.0,1150,0.02,Young giant
AU Microscopii b,2020,Transit,TESS,Microscopium,4.07,17.1,8.46,31.9,593,0.18,Young Neptune
Pi Mensae c,2018,Transit,TESS,Mensa,2.04,4.82,6.27,59.6,1170,0.12,Super-Earth
L 98-59 d,2019,Transit,TESS,Volans,1.52,2.31,7.45,34.6,514,0.38,Rocky
Gliese 486 b,2021,Transit,TESS,Virgo,1.31,2.82,1.47,26.3,701,0.22,Rocky
LP 791-18 d,2023,Transit,TESS,Crater,0.90,0.90,2.75,86.0,395,0.55,Volcanic rocky
K2-141 b,2018,Transit,K2,Pisces,1.51,5.08,0.28,202.0,2039,0.04,Lava world
Kepler-1649 c,2020,Transit,Kepler,Cygnus,1.06,1.20,19.54,301.0,234,0.91,Habitable zone
Wolf 1069 b,2023,Radial Velocity,CARMENES,Cygnus,1.08,1.26,15.56,31.2,250,0.90,Habitable zone
GJ 1002 b,2022,Radial Velocity,CARMENES,Cetus,1.03,1.08,10.35,15.8,231,0.88,Habitable zone
GJ 1002 c,2022,Radial Velocity,CARMENES,Cetus,1.09,1.36,21.20,15.8,182,0.78,Cold rocky
TOI-715 b,2024,Transit,TESS,Volans,1.55,3.02,19.29,137.0,234,0.86,Habitable zone
SPECULOOS-3 b,2024,Transit,SPECULOOS,Cygnus,0.98,0.93,0.72,54.6,553,0.31,Rocky
